date,command
2025-96-T00:02:28,on
2025-97-T00:00:14,off
2025-97-T00:02:28,on
2025-97-T23:23:25,off
2025-99-T09:24:03,on
2025-100-T00:00:09,off
2025-100-T00:02:26,on
2025-101-T00:00:09,off
2025-101-T00:02:23,on
2025-101-T18:30:12,off
2025-101-T20:50:13,on
2025-102-T00:00:08,off
2025-102-T00:04:10,on
2025-102-T03:00:07,off
2025-102-T05:01:38,on
2025-103-T00:00:09,off
2025-103-T00:02:22,on
2025-103-T20:35:39,on
2025-103-T20:54:46,off
2025-106-T00:01:54,on
2025-106-T00:12:18,off
2025-108-T20:03:24,on
2025-108-T20:08:12,off
2025-109-T16:57:03,on
2025-109-T17:07:12,off
2025-111-T21:18:46,on
2025-111-T21:23:52,off
2025-120-T13:56:15,on
2025-120-T14:06:39,off
