,date,command
0,2025-04-06 00:02:28,on
1,2025-04-07 00:00:14,off
2,2025-04-07 00:02:28,on
3,2025-04-07 23:23:25,off
4,2025-04-09 09:24:03,on
5,2025-04-10 00:00:09,off
6,2025-04-10 00:02:26,on
7,2025-04-11 00:00:09,off
8,2025-04-11 00:02:23,on
9,2025-04-11 18:30:12,off
10,2025-04-11 20:50:13,on
11,2025-04-12 00:00:08,off
12,2025-04-12 00:04:10,on
13,2025-04-12 03:00:07,off
14,2025-04-12 05:01:38,on
15,2025-04-13 00:00:09,off
16,2025-04-13 00:02:22,on
17,2025-04-13 20:35:39,on
18,2025-04-13 20:54:46,off
19,2025-04-16 00:01:54,on
20,2025-04-16 00:12:18,off
21,2025-04-18 20:03:24,on
22,2025-04-18 20:08:12,off
23,2025-04-19 16:57:03,on
24,2025-04-19 17:07:12,off
25,2025-04-21 21:18:46,on
26,2025-04-21 21:23:52,off
